"participation_id","project_entity_id","funding_round_id","platform","round_family","source_round_name","source_season","source_project_name","source_project_id","source_application_id","source_status","source_url","application_status","payout_address","grant_address","raw_text","application_summary","what_are_you_making","impact","progress","why_you","requested_amount_usd","raised_amount_usd","matching_amount_usd","final_amount_usd","donor_count","unique_donor_count","vote_count","funding_rank","review_status","review_score_avg","review_score_min","review_score_max","review_score_disagreement","tiebreaker_used","review_decision","match_status","matched_project_entity_id","confirmed_by","confirmed_at","github_path","obsidian_path","created_at_source","last_edited_source","source_specific_fields_json"
"DSPT-00011","DSPJ-0011","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","INFLAMM AI","","","","https://artizen.fund/index/p/inflamm-ai","unknown","","","[WHAT]
INFLAMM AI is a magical helper that locks up your health secrets, uses them to give you smart advice, and even gives you tiny coins for sharing safely, all while keeping your secrets fully protected.

[IMPACT]
INFLAMM AI is a trustless agent transforming fragmented health data into proactive care. It uses AI, predictive hypothesis markets (SciCast), and gamified rewards (VyTap) to incentivize wellness and accelerate research.

[PROGRESS]
We've achieved basic Website launch, Ongoing VyTap community participation for Future Incentives and waitlist before full App Launch

[WHY]
I'm a Biomedical Data-Science Specialist and have a track record of making something out of nothing.","","Health AI agent","Preventive care","Website + waitlist","Data scientist","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0011","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00012","DSPJ-0012","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Mars and Moon base","","","","https://artizen.fund/index/p/mars-and-moon-base","unknown","","","[WHAT]
A hyper simple massive pressurized Moon colony macrostructure with solid metal.  At a cost low.  The simplicity of design is comical but based in real physics.  Simple, crude, cheap ideas can win if they just barely meet the need.  And it scales.

[IMPACT]
Starship can take 1 million tons of cargo to moon per synod without hurting Mars missions.  The cost is very low and cargo that is hyper simple and cheap is needed to fill that cargo capacity.  No one is doing CHEAP CHEAP or SIMPLE SIMPLE city.

[PROGRESS]
I used Grok AI to design about half of it using FREECAD and python script.  I am an EE not ME so my design is simple relative to the final product.  The entire concept is pretty simple so all done there won't be THAT much there.

[WHY]
There is a need.  The first principals allow only 2 solutions at scale to  hit the need in the low price range.  Inflatables are the other and this hasn't been mentioned by anyone in public.  So I have first mover advantage.","","Cheap moon colony design","Space infra","Concept design","Engineer","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0012","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00013","DSPJ-0013","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Gulf Fish Conservation","","","","https://artizen.fund/index/p/community-and-science-for-gulf-of-california-ornamental-fish-conservation?season=6","unknown","","","[WHAT]
I am developing a community-focused environmental education project to promote the conservation of endemic marine ornamental fish from the Gulf of California, supported by scientific research on captive reproduction.

[IMPACT]
The project raises awareness about endemic marine ornamental fish from the Gulf of California and how overfishing and unsustainable management practices impact wild populations, linking science and communities to support marine conservation.

[PROGRESS]
I am currently conducting doctoral research on the captive reproduction of marine ornamental fish and have experience in scientific research and outreach, communicating science to the general public from children to adults.

[WHY]
I am a biologist and PhD candidate with experience in science outreach since 2016. I focus on conserving marine ornamental fish from the Gulf of California by combining aquaculture research, education, and community engagement.","","Marine conservation + education","Protect biodiversity","PhD research","Biologist","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0013","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00014","DSPJ-0014","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","DeSci Ghana","","","","https://artizen.fund/index/p/desci-ghana-1","unknown","","","[WHAT]
DeSci Ghana community educates Africans both researchers and non researchers on a science but in a special block of the internet  called blockchain and out of the team behind DeSci Ghana, SciResearch, a platform is to be birthed to help in research.

[IMPACT]
DeSci Ghana will transform the research ecosystem in Ghana by leveraging on community collaboration with the universities in Ghana and SciResearch ,a platform for the researches made by the researchers to provide transparency and proof of work.

[PROGRESS]
1. A 10 day DeSci Series
2. 3 DeSci oriented X spaces( with DeSciAfrica)
3. A virtual meeting with the Biomedical Engineering Association,KNUST-GH
4. DeSci Ghana website
5. Presented on DeSci GH at Blockchain Adoption in Ghana at AyaHQ

[WHY]
The team is  made up  of Computer science stucdents and Biomedical engineers, passionate about science in the web3 space , with the shear of load of the team efficient in web3 and smart contracts and the biomedical engineers to help in the research.","","DeSci community + platform","Research transparency","Events + partnerships","Student + engineers","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0014","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00015","DSPJ-0015","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Coral Rehab Cozumel","","","","https://artizen.fund/index/p/marine-coral-nursery-and-coral-rehabilitation-project-in-cozumel-mxico?season=6","unknown","","","[WHAT]
Corals are animals that build reefs but grow only a few inches per year. They face threats and are dying worldwide. We rescue coral fragments in a nursery with the best conditions. We´ll outplant them in deep reefs so they can mature and reproduce.

[IMPACT]
We rescue genetic diversity by protecting coral species at risk from bleaching, pollution, and coastal development. We build a sustainable future with a nursery to ensure long-term coral production. We scale up restoration efforts in Cozumel island.

[PROGRESS]
After careful planning, we´ve selected a site for our marine nursery at 8-meter depth (2023), designed and probed nursery module prototypes (2024), and trained our allies to produce 100 fragments of Acroporid corals (2025). We´re ready to scale up.

[WHY]
I´ve worked on coral reef restoration for 10 years, designing and establishing techniques to produce hard corals, training volunteers to mass outplant corals, and assisting in their sexual reproduction. I´ve a master's degree in aquaculture.","","Coral restoration","Reef recovery","100 corals grown","10y experience","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0015","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00016","DSPJ-0016","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Rocket Injector Bible","","","","https://artizen.fund/index/p/cheshire-redux---amateur-liquid-rocket-to-50k-feet?season=6","unknown","","","[WHAT]
A modular rocket engine that can be rapidly tested, and the stand to do it on. Test as many types of and multiple configurations of those types of injectors, and once the best one is found, gain publicity for the research by launching one to 50k ft.

[IMPACT]
Help push forward the amateur/student knowledge for a prop combo that has been increasing in popularity for the last few years outside the professional space. There is little good data for film cooling or injector efficiencies, I want to change that

[PROGRESS]
Injector testing and revision, bare bones stand built, more advanced stand design in progress. Flight vehicle(for project publicity) design completed

[WHY]
I am a professional propulsion engineer, in charge of all fluid systems on a major launch vehicle engine, and have worked with liquid propulsion rocket engines for more than 4 years, with almost 75 hotfires, and multiple amateur launches under my bel","","Open rocket research","Amateur space science","Test rigs built","Propulsion engineer","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0016","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00017","DSPJ-0017","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","http://elimu.ai Sponsors","","","","https://artizen.fund/index/p/elimuai-sponsors","unknown","","","[WHAT]
We build a website (https://sponsors.elimu.ai) where you can sponsor the education of an out-of-school child.

[IMPACT]
The social impact we are aiming for is to increase the number of children that get to opportunity to learn basic reading, writing and math. All so that they can grow up and use their creativity to improve the world. A sponsor can observe the impact.

[PROGRESS]
We have finished building the Ethereum smart contracts (https://github.com/elimu-ai/web3-sponsors), and we are preparing to test the solution with groups of out-of-school children in Q4 of 2026 (estimated cost per child: $40).

[WHY]
We work in the intersection of real-world impact and blockchain. This puts us in a position to build a system that offers radical transparency and trust for sponsors. The world's first on-chain education sponsorship program.","","Education sponsorship","Access education","Smart contracts ready","Web3 + impact","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0017","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00018","DSPJ-0018","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Shapeshifters","","","","https://artizen.fund/index/p/labour-union-of-higher-dimensional-shapeshifters","unknown","","","[WHAT]
Key terms: 
➡️ https://en.wikipedia.org/wiki/Transmedia_storytelling
➡️ https://en.wikipedia.org/wiki/Interactive_film

Our plan is to present the answer to life the universe and everything and realign versions of reality, beyond polarization.

[IMPACT]
Metapossibility: if it exists as a though the probability it exists is non-zero.

Metacrisis solution: can solve any problem, cannot solve all the problems all at once.

We believe change is possible and our project will inspire change.

[PROGRESS]
Using generative AI to create images that act as memetic viruses.

Screenplay (WORK IN PROGRESS): https://docs.google.com/presentation/d/1geTp6nwHl3oWdMnyo6XZEq1c88M1BquMdzx3UnBKGuQ

Join real time discussion channel: https://t.me/PlanetaryCouncil

[WHY]
Flexing imagination muscles.
Neuroplasticity. Neurogenesis.
Curious brain. Beautiful mind.
Resonating heart. DNA activated.","","Transmedia experience","Cultural narrative","Script WIP","Creative","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0018","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00019","DSPJ-0019","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Living Towers","","","","https://artizen.fund/index/p/constellation-punk-facade-living-buildings-for-regenerative-cities?season=6","unknown","","","[WHAT]
We’re creating buildings that act like living systems: they grow food, generate solar energy, clean the air, and support life in cities. Each becomes an interactive, regenerative presence for people, nature, and the surrounding environment.

[IMPACT]
Living Towers turn passive buildings into regenerative systems. They add food, clean energy, and greenery to dense cities, improve air and performance, heal, inspire, bring joy, and create places people feel proud to live, work, and visit.

[PROGRESS]
We completed core architectural design, system concepting, and an emblem that defines the project’s evolution. Frontier Tower SF is secured as the first site. We are now raising funds for a $10,000 structural and engineering feasibility study.

[WHY]
I combine architecture, solar energy, engineering, and regenerative design. With 10+ years delivering real projects, I’m focused on turning ambitious ideas into buildable systems that are financially grounded and ready for the real world.","","Regenerative buildings","Urban ecology","Design ready","Architect","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0019","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00020","DSPJ-0020","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","TEENTOK","","","","https://artizen.fund/index/p/teentok?season=6","unknown","","","[WHAT]
Platform that helps young people discover what they like, what they’re good at, and what jobs fit them. They can talk to real mentors, learn skills, choose their future with confidence instead of guessing, failing, unhappy and not feeling fulfilled

[IMPACT]
Guiding millions of teens toward the right career path prevents dropouts and wasted resources while creating happier adults in fulfilling careers. The result: empowered individuals and thriving communities built on purpose-driven success.

[PROGRESS]
We are in final development and beta testing. We are building the platform, onboarded mentors, gathered early student feedback, and refined features. It’s almost ready for launch and scaling extra AI innovated features.

[WHY]
Yessie combines psychology, UX/UI, and business expertise, while Alex brings years of experience in AI and tech development. Together, we understand how teens make career decisions and built Teentok to guide, support, and empower them.","","Career discovery platform","Better life outcomes","Beta","UX + AI team","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0020","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00021","DSPJ-0021","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","CCGF","","","","https://artizen.fund/index/p/ccgfmegapi?season=6","unknown","","","[WHAT]
We are making a system that funds science autonomously and continuously.

It should become a web3 hyperstructure. A thing that eventually will 

[IMPACT]
Once succeeded the system will autonomously, without human intervention pour tons of funds into science.

Science made our life better -> it'll make the life of all the humanity better

[PROGRESS]
Under HyperDeSci we:
1. Run two QF rounds in mid 2024
2. Run a round on artizen for season 4
3. Minted a governance token & commiunity to test Conviction voting on Gardens.fund
4. Minted a coin to test StreamingQF on flowstate

[WHY]
We are a team of  web3 native scientists passionate about open and accessible science.","","Autonomous funding system","Fund science","Test rounds","Web3 scientists","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0021","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00022","DSPJ-0022","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Greenpill Uganda","","","","https://artizen.fund/index/p/greenpill-uganda?season=6","unknown","","","[WHAT]
We're building a system that pays farmers to take care of the land. When farmers grow food in ways that make the soil healthier & help plants and animals thrive, they get money sent directly to their phones. It's like getting paid to be a good garden

[IMPACT]
Our project lifts farming families out of extreme poverty by providing steady income while they restore degraded land. Healthier soil means more food, cleaner water, & trees that fight climate change. As farmers prosper, entire rural communities gain

[PROGRESS]
We've established partnerships with local farming cooperatives & begun onboarding our first cohort of regenerative farmers into the program. Our team has developed the initial Web3 payment infrastructure & created training materials in local language

[WHY]
I deeply understand both the agricultural realities facing Ugandan farming communities and the transformative potential of Web3 technology. With roots in rural Uganda and experience in blockchain solutions, I bridge two worlds that rarely connect.","","Regenerative farming system","Reduce poverty","Pilot farmers","Local + web3","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0022","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00023","DSPJ-0023","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Neurodevelop","","","","https://artizen.fund/index/p/neurodevelop-neuromodulation-for-everyone?season=6","unknown","","","[WHAT]
Imagine using electrical signals to trick your brain into treating pain or urinary incontinence with a device the size of your cell phone. We are researching, designing, and building smart neuromodulation devices that can treat various diseases.

[IMPACT]
We are advancing the development of neurostimulation devices that use electrical signals at different frequencies to provide an alternative, noninvasive treatment option for neurological diseases that do not respond to existing therapies.

[PROGRESS]
In order to conduct this research, we designed and developed the first version of Neurodevelop, a cell phone-sized device that uses inexpensive electronic components and can be programmed to produce various signals at different frequencies.

[WHY]
I am a Mexican engineer dedicated to conducting research and providing solutions in the biomedical field for diseases that cannot be treated conventionally. We use neuromodulation as a safe, low-cost alternative for treating neurological diseases.","","Neuromodulation device","Treat diseases","Prototype","Biomedical engineer","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0023","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00024","DSPJ-0024","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Feynman WTF","","","","https://artizen.fund/index/p/feynman-wtf?season=6","unknown","","","[WHAT]
Feynman is a mobile app that summarizes research papers into 60-word cards and lets you scroll through them in a social-feed style to explore what’s new.

[IMPACT]
Feynman saves researchers hours, turns brainrot scrolling into productive discovery, and makes science accessible while spreading knowledge faster worldwide.

[PROGRESS]
We’ve built and launched Feynman with key features: swipe to discover research papers, chat with AI, bookmark and save for later, and explore by category. The app is fully live on the App Store and currently awaiting review on Google Play Store.

[WHY]
I’m a researcher and builder who knows the pain of endless papers. Having built AI products and consumer apps, I bring the domain insight and execution needed to create and scale Feynman for the community.","","Research summary app","Knowledge access","App live","Builder","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0024","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00025","DSPJ-0025","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Youth Digital Skills","","","","https://artizen.fund/index/p/empowering-youth-through-digital-skills--innovation?season=6","unknown","","","[WHAT]
We are building a scalable digital training program that equips youth with essential ICT skills, freelancing expertise, and business acumen to help them secure employment or start their own ventures.

[IMPACT]
By providing accessible digital education, we are bridging the skills gap and creating employment opportunities for youth. This initiative contributes to economic growth, reduces unemployment, and promotes technological inclusion.

[PROGRESS]
Successfully trained 150+ freelancers through 10+ online batches. Conducted 6+ offline batches of ‘Skills Sprint’ basic computer training, empowering over 120+ students per batch. Achieved recognition in multiple regional and national competitions.

[WHY]
Our leadership team has a proven track record of empowering youth through skill development. With industry expertise, strong mentorship networks, and local community engagement, we are uniquely positioned to scale this project.","","Digital training","Employment","150+ trained","Educators","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0025","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00026","DSPJ-0026","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","American Season","","","","https://artizen.fund/index/p/american-season?season=6","unknown","","","[WHAT]
A quiet, participatory film and living archive of parents who lost children to school violence. Seasonal chapters turn homes into memorials, creating a care-based, immersive, community-led experience across film, public space, and digital platforms.

[IMPACT]
American Season responds to the growing crisis of school shootings and political division. The film focuses on bereaved parents, shifting the conversation from blame to possibility and urging us to listen with empathy.

[PROGRESS]
Filmed one of the parents, recorded all the rest

[WHY]
My understanding of grief is shaped by my father's work with bereaved parents. These experiences taught me that grief changes families and that presence matters more than words. Becoming a father made this realization more urgent.","","Participatory film","Social awareness","Filming","Storyteller","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0026","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
